
Component,DigiKey Part Number,Price Each (USD),Description,Notes
ESP8266-01 / ESP-01S,3647-Ai-ThinkerESP-01S ESP8266-ND,3.96,Ai-Thinker ESP-01S ESP8266 Wi-Fi Module,
ADS1115IDGS,296-38849-1-ND,5.30,16-bit Sigma-Delta ADC IC (VSSOP),
Grove Connector 4-pin (2mm),1597-1082-ND,1.70,Grove 2mm 4-pin Vertical Connector,Price shown per 10-pack
SJ1-3535NG,CP1-3535NG-ND,1.23,3.5mm Stereo Audio Jack (Right Angle),
PJ-047AH,CP-047A-ND,0.88,DC Power Jack 2.0x5.5mm Through-Hole,
SK6812 NeoPixel,1528-1104-ND,4.06,Addressable RGB LED Disc,Price shown per 10-pack
Grove DHT20 Sensor,1597-101020932-ND,5.86,Grove Temperature & Humidity Sensor v2.0 (DHT20),
Grove 0.96in OLED,1597-104020208-ND,4.96,Grove OLED Display 0.96in (SSD1313),
YHDC SCT013-000,1597-1307-ND,10.36,Current Sense Transformer 100A:0.05A,
WAU12-200,237-1880-ND,9.03,12VAC 200mA Wall-Mount Power Adapter,
